STATE,year,type,race,sex,value
DE,2012,REFERRALAPPLICANTS,ASIAN,MALE,
DE,2012,REFERRALAPPLICANTS,BLACK,FEMALE,
DE,2012,REFERRALAPPLICANTS,BLACK,MALE,6
DE,2012,REFERRALAPPLICANTS,HISPANIC,FEMALE,
DE,2012,REFERRALAPPLICANTS,HISPANIC,MALE,4
DE,2012,REFERRALAPPLICANTS,WHITE,FEMALE,
DE,2012,REFERRALAPPLICANTS,WHITE,MALE,146
DE,2012,REFERRALS,AMERICANINDIAN,FEMALE,
DE,2012,REFERRALS,AMERICANINDIAN,MALE,
DE,2012,REFERRALS,ASIAN,FEMALE,
DE,2012,REFERRALS,ASIAN,MALE,
DE,2012,REFERRALS,BLACK,FEMALE,
DE,2012,REFERRALS,BLACK,MALE,40
DE,2012,REFERRALS,HISPANIC,FEMALE,
DE,2012,REFERRALS,HISPANIC,MALE,33
DE,2012,REFERRALS,WHITE,FEMALE,3
DE,2012,REFERRALS,WHITE,MALE,491
DE,2012,REFERRED,AMERICANINDIAN,FEMALE,
DE,2012,REFERRED,AMERICANINDIAN,MALE,
DE,2012,REFERRED,ASIAN,FEMALE,
DE,2012,REFERRED,ASIAN,MALE,
DE,2012,REFERRED,BLACK,FEMALE,
DE,2012,REFERRED,BLACK,MALE,40
DE,2012,REFERRED,HISPANIC,FEMALE,
DE,2012,REFERRED,HISPANIC,MALE,33
DE,2012,REFERRED,WHITE,FEMALE,3
DE,2012,REFERRED,WHITE,MALE,491
FL,2012,APPLICANTS,AMERICANINDIAN,FEMALE,
FL,2012,APPLICANTS,AMERICANINDIAN,MALE,4
FL,2012,APPLICANTS,ASIAN,FEMALE,
FL,2012,APPLICANTS,ASIAN,MALE,16
FL,2012,APPLICANTS,BLACK,FEMALE,8
FL,2012,APPLICANTS,BLACK,MALE,190
FL,2012,APPLICANTS,HISPANIC,FEMALE,32
FL,2012,APPLICANTS,HISPANIC,MALE,355
FL,2012,APPLICANTS,WHITE,FEMALE,47
FL,2012,APPLICANTS,WHITE,MALE,819
FL,2012,MEMBERS,AMERICANINDIAN,FEMALE,
FL,2012,MEMBERS,AMERICANINDIAN,MALE,69
FL,2012,MEMBERS,ASIAN,FEMALE,8
FL,2012,MEMBERS,ASIAN,MALE,171
FL,2012,MEMBERS,BLACK,FEMALE,39
FL,2012,MEMBERS,BLACK,MALE,1754
FL,2012,MEMBERS,HISPANIC,FEMALE,94
FL,2012,MEMBERS,HISPANIC,MALE,3326
FL,2012,MEMBERS,WHITE,FEMALE,435
FL,2012,MEMBERS,WHITE,MALE,14664
FL,2012,REFERRALAPPLICANTS,AMERICANINDIAN,FEMALE,
